Category,#,Feature,Sub-Feature,Description,Decagon,Sierra
Multi-Agent Architecture,1.1,Supervisor Orchestration,Intent-Based Routing,Supervisor agents classify user intent and route to specialized child agents with priority-ordered rules,,
Multi-Agent Architecture,1.2,Supervisor Orchestration,Condition-Based Routing,Route based on arbitrary expressions evaluated against session context and gathered data,,
Multi-Agent Architecture,1.3,Supervisor Orchestration,Default Agent Fallback,Configurable default agent when no routing rule matches,,
Multi-Agent Architecture,1.4,Agent Handoff,Synchronous Handoff,Transfer full control to another agent with context passing and optional return,,
Multi-Agent Architecture,1.5,Agent Handoff,Context Passing,"Pass specific fields, memory grants, and generated summaries to target agent",,
Multi-Agent Architecture,1.6,Agent Handoff,History Strategy,"Control what conversation history transfers: none, summary_only, full, or last_N messages",,
Multi-Agent Architecture,1.7,Agent Handoff,Return Flow,Handoff with RETURN: true allows child agent to return control with results mapped back via ON_RETURN,,
Multi-Agent Architecture,1.8,Agent Delegation,Fire-and-Forget Delegation,"Invoke a sub-agent, get result, continue in current agent without yielding control",,
Multi-Agent Architecture,1.9,Agent Delegation,Input/Output Mapping,Explicit INPUT mapping to sub-agent and RETURNS mapping from sub-agent results,,
Multi-Agent Architecture,1.10,Agent Delegation,Timeout & Failure Handling,"Per-delegation timeout with ON_FAILURE: CONTINUE, ESCALATE, or RESPOND",,
Multi-Agent Architecture,1.11,Fan-Out,Parallel Agent Execution,Dispatch work to multiple agents concurrently and synthesize results,,
Multi-Agent Architecture,1.12,Human Escalation,Priority-Based Escalation,Escalate to human agents with low/medium/high/critical priority levels,,
Multi-Agent Architecture,1.13,Human Escalation,Skill-Based Routing,Route escalations to specific queues with skill_tags for matching,,
Multi-Agent Architecture,1.14,Human Escalation,Context for Human,Configurable fields and templates passed to human agent for context,,
Multi-Agent Architecture,1.15,Human Escalation,On Human Complete,Define actions when human agent resolves or fails to resolve,,
Multi-Agent Architecture,1.16,Remote Agents,A2A Protocol,Agent-to-Agent protocol for cross-service agent invocation,,
Multi-Agent Architecture,1.17,Remote Agents,REST Protocol,"HTTP REST-based remote agent invocation with auth (api_key, bearer)",,
Multi-Agent Architecture,1.18,Remote Agents,SSRF Protection,"Validate remote endpoints, block private IP ranges and metadata endpoints",,
Multi-Agent Architecture,1.19,Agent Registry,Per-Deployment Registry,Agents registered per deployment/project with version pinning,,
Multi-Agent Architecture,1.20,Agent Registry,Agent Versioning,"Draft, testing, staged, active, deprecated, archived lifecycle states",,
Programmable Platform (ABL DSL),2.1,Dual Execution Modes,Reasoning Mode,"LLM-driven agentic loop with tool use, constraint checking, and autonomous decision-making",,
Programmable Platform (ABL DSL),2.2,Dual Execution Modes,Scripted Mode,"Deterministic state machine with FLOW steps, explicit transitions, and predictable behavior",,
Programmable Platform (ABL DSL),2.3,Agent Identity,Goal,Declarative goal statement used in system prompt and completion detection,,
Programmable Platform (ABL DSL),2.4,Agent Identity,Persona,Multi-line personality/tone definition injected into LLM system prompt,,
Programmable Platform (ABL DSL),2.5,Agent Identity,Limitations,"Hard constraints the agent cannot violate, embedded in system prompt",,
Programmable Platform (ABL DSL),2.6,Tool Definitions,Typed Parameters,"Tools with typed params (string, number, boolean, date, object, array, enum) and defaults",,
Programmable Platform (ABL DSL),2.7,Tool Definitions,Return Types,Typed return values including complex objects and arrays (e.g. Hotel[]),,
Programmable Platform (ABL DSL),2.8,Tool Bindings,HTTP Binding,"REST API tools with endpoint, method, auth (API key, bearer, OAuth2, SAML, custom), headers, retry, rate limit, circuit breaker",,
Programmable Platform (ABL DSL),2.9,Tool Bindings,MCP Binding,Model Context Protocol server + tool mapping for standardized tool access,,
Programmable Platform (ABL DSL),2.10,Tool Bindings,Lambda Binding,"AWS Lambda invocation with function name, runtime, timeout, memory config",,
Programmable Platform (ABL DSL),2.11,Tool Bindings,Sandbox Binding,"Isolated JavaScript/Python code execution with entrypoint, timeout, memory limits",,
Programmable Platform (ABL DSL),2.12,Tool Imports,Shared Tool Files,Import tool definitions from .tools.abl files to share across agents,,
Programmable Platform (ABL DSL),2.13,Information Gathering,GATHER Fields,"Multi-field collection with type, prompt, required, default, validation, extraction hints",,
Programmable Platform (ABL DSL),2.14,Information Gathering,Extraction Strategies,"LLM-based, pattern-based, or hybrid extraction from natural language",,
Programmable Platform (ABL DSL),2.15,Information Gathering,Field Inference,infer: true/false controls whether LLM can infer values or must ground from user input,,
Programmable Platform (ABL DSL),2.16,Information Gathering,Corrections,"Natural language corrections (""actually 4 not 3"") detected and applied",,
Programmable Platform (ABL DSL),2.17,Constraints,Phase-Based Enforcement,"Named constraint phases (pre_search, pre_booking, verification, always) checked at relevant points",,
Programmable Platform (ABL DSL),2.18,Constraints,Constraint Actions,"CHECK/REQUIRE with ON_FAIL: respond, handoff, escalate, or block",,
Programmable Platform (ABL DSL),2.19,Guardrails,Input/Output Guards,Safety checks on input/output/both with block/warn/redact/escalate actions and priority ordering,,
Programmable Platform (ABL DSL),2.20,Flow Control,Step-Based Flows,"Named steps with THEN transitions, entry points, and static graph generation",,
Programmable Platform (ABL DSL),2.21,Flow Control,ON_INPUT Branching,Branch on user input patterns with IF/ELSE conditions,,
Programmable Platform (ABL DSL),2.22,Flow Control,ON_RESULT Branching,Multi-way conditional branching on tool call results,,
Programmable Platform (ABL DSL),2.23,Flow Control,Digressions,Intent-based escapes from current flow with optional resume back to interrupted step,,
Programmable Platform (ABL DSL),2.24,Flow Control,Sub-Intents,"Step-scoped intent handlers that stay in current step (field clearing, tool calls)",,
Programmable Platform (ABL DSL),2.25,Flow Control,Global Digressions,"Cross-step intent handlers (help, quit, cancel) available in every step",,
Programmable Platform (ABL DSL),2.26,Variables,SET Expressions,"Assign variables from expressions, tool results, and built-in functions",,
Programmable Platform (ABL DSL),2.27,Variables,CLEAR,Delete session variables to reset state for loops,,
Programmable Platform (ABL DSL),2.28,Variables,TRANSFORM Pipeline,"Array processing: FILTER -> MAP -> SORT_BY -> LIMIT with expression support",,
Programmable Platform (ABL DSL),2.29,Tool Calls in Flow,CALL WITH/AS,Explicit parameter binding (WITH) and result variable binding (AS) for tool calls,,
Programmable Platform (ABL DSL),2.30,Tool Calls in Flow,ON_SUCCESS / ON_FAIL,Conditional branches after tool call based on success or failure,,
Programmable Platform (ABL DSL),2.31,Built-in Functions,Math (8),"ADD, SUB, MUL, DIV, ROUND, ABS, MIN, MAX",,
